Full Journal Title,JCR Abbreviated Title,Issn,Journal Impact Factor,5-Year Impact Factor,Category,Year
EARLY CHILDHOOD RESEARCH QUARTERLY,EARLY CHILD RES Q,0885-2006,1.671,2.610,Education & Educational Research,2011
LANGUAGE LEARNING & TECHNOLOGY,LANG LEARN TECHNOL,1094-3501,1.741,2.465,Education & Educational Research,2011
SOCIOLOGY OF EDUCATION,SOCIOL EDUC,0038-0407,1.750,2.725,Education & Educational Research,2011
SCIENCE EDUCATION,SCI EDUC,0036-8326,1.775,2.316,Education & Educational Research,2011
INSTRUCTIONAL SCIENCE,INSTR SCI,0020-4277,1.828,1.960,Education & Educational Research,2011
SCIENTIFIC STUDIES OF READING,SCI STUD READ,1088-8438,1.864,3.582,Education & Educational Research,2011
JOURNAL OF THE LEARNING SCIENCES,J LEARN SCI,1050-8406,2.000,3.081,Education & Educational Research,2011
ADVANCES IN HEALTH SCIENCES EDUCATION,ADV HEALTH SCI EDUC,1382-4996,2.089,2.059,Education & Educational Research,2011
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,BRIT J EDUC TECHNOL,0007-1013,2.098,1.906,Education & Educational Research,2011
International Journal of Computer-Supported Collaborative Learning,INT J COMP-SUPP COLL,1556-1607,2.243,3.000,Education & Educational Research,2011
JOURNAL OF TEACHER EDUCATION,J TEACH EDUC,0022-4871,2.292,2.226,Education & Educational Research,2011
Educational Research Review,EDUC RES REV-NETH,1747-938X,2.333,Not Available,Education & Educational Research,2011
AMERICAN EDUCATIONAL RESEARCH JOURNAL,AM EDUC RES J,0002-8312,2.393,3.094,Education & Educational Research,2011
COMPUTERS & EDUCATION,COMPUT EDUC,0360-1315,2.621,2.970,Education & Educational Research,2011
JOURNAL OF RESEARCH IN SCIENCE TEACHING,J RES SCI TEACH,0022-4308,2.639,2.920,Education & Educational Research,2011
READING RESEARCH QUARTERLY,READ RES QUART,0034-0553,2.697,2.573,Education & Educational Research,2011
Educational Researcher,EDUC RESEARCHER,0013-189X,2.931,Not Available,Education & Educational Research,2011
REVIEW OF EDUCATIONAL RESEARCH,REV EDUC RES,0034-6543,3.169,5.464,Education & Educational Research,2011
LEARNING AND INSTRUCTION,LEARN INSTR,0959-4752,3.732,3.727,Education & Educational Research,2011
Academy of Management Learning & Education,ACAD MANAG LEARN EDU,1537-260X,4.800,4.053,Education & Educational Research,2011
